season,Day,n_alerts,alerted_cows,collective_alerts,cows,alerted_cow_frac
summer_2019,2019-06-18,1,1,0,8520,0.05555555555555555
summer_2019,2019-06-19,1,1,0,5865,0.05555555555555555
summer_2019,2019-06-20,2,2,1,"5322, 8520",0.1111111111111111
summer_2019,2019-06-21,3,3,0,"2062, 5258, 8536",0.16666666666666666
summer_2019,2019-06-24,1,1,0,2062,0.05555555555555555
summer_2019,2019-06-25,2,2,0,"5258, 8536",0.1111111111111111
summer_2019,2019-06-26,3,3,0,"2062, 5169, 8536",0.16666666666666666
summer_2019,2019-06-27,3,3,0,"5169, 5258, 8536",0.16666666666666666
summer_2019,2019-06-28,2,2,0,"5169, 5854",0.1111111111111111
summer_2019,2019-07-01,1,1,0,419,0.05555555555555555
summer_2019,2019-07-03,1,1,0,5322,0.05555555555555555
summer_2019,2019-07-04,1,1,0,8515,0.05555555555555555
summer_2019,2019-07-05,2,2,0,"5258, 5854",0.1111111111111111
summer_2019,2019-07-08,2,2,0,"5258, 5330",0.1111111111111111
summer_2019,2019-07-09,1,1,0,5258,0.05555555555555555
summer_2019,2019-07-10,2,2,0,"419, 5258",0.1111111111111111
summer_2019,2019-07-11,3,3,0,"5214, 5330, 5862",0.16666666666666666
summer_2019,2019-07-12,1,1,0,8520,0.05555555555555555
summer_2019,2019-07-15,3,3,0,"5854, 5865, 8520",0.16666666666666666
summer_2019,2019-07-17,4,4,4,"5313, 5854, 5857, 8536",0.2222222222222222
summer_2019,2019-07-18,4,4,4,"419, 5857, 8520, 8536",0.2222222222222222
summer_2019,2019-07-19,4,4,4,"5214, 5854, 5865, 5871",0.2222222222222222
summer_2019,2019-07-20,2,2,2,"5862, 5871",0.1111111111111111
summer_2019,2019-07-21,1,1,1,5862,0.05555555555555555
summer_2019,2019-07-22,2,2,0,"5854, 8520",0.1111111111111111
summer_2019,2019-07-23,2,2,1,"2062, 5857",0.1111111111111111
summer_2019,2019-07-24,2,2,0,"419, 5313",0.1111111111111111
summer_2019,2019-07-26,2,2,0,"2062, 8525",0.1111111111111111
summer_2019,2019-07-28,1,1,0,5871,0.05555555555555555
summer_2019,2019-07-29,3,3,0,"5857, 5871, 8520",0.16666666666666666
summer_2019,2019-07-30,2,2,0,"5258, 5871",0.1111111111111111
summer_2019,2019-08-03,2,2,0,"5313, 5330",0.1111111111111111
summer_2019,2019-08-04,2,2,0,"5313, 5871",0.1111111111111111
summer_2019,2019-08-06,2,2,0,"5313, 5322",0.1111111111111111
summer_2019,2019-08-07,1,1,0,5862,0.05555555555555555
summer_2019,2019-08-08,2,2,0,"419, 5322",0.1111111111111111
summer_2019,2019-08-09,1,1,0,5313,0.05555555555555555
summer_2019,2019-08-11,1,1,0,5258,0.05555555555555555
summer_2019,2019-08-12,1,1,0,5322,0.05555555555555555
summer_2019,2019-08-13,2,2,0,"419, 5871",0.1111111111111111
summer_2019,2019-08-14,2,2,0,"419, 5871",0.1111111111111111
summer_2019,2019-08-15,4,4,0,"2062, 419, 5258, 5322",0.2222222222222222
summer_2019,2019-08-16,1,1,0,419,0.05555555555555555
summer_2019,2019-08-17,1,1,0,5258,0.05555555555555555
summer_2019,2019-08-19,3,3,0,"5313, 5857, 8520",0.16666666666666666
summer_2019,2019-08-20,2,2,0,"5871, 8520",0.1111111111111111
summer_2019,2019-08-21,1,1,0,2062,0.05555555555555555
summer_2019,2019-08-24,2,2,0,"2062, 5857",0.1111111111111111
summer_2019,2019-08-25,1,1,0,5865,0.05555555555555555
summer_2019,2019-08-26,3,3,0,"2062, 5857, 8536",0.16666666666666666
summer_2019,2019-08-27,1,1,0,2062,0.05555555555555555
summer_2019,2019-08-28,1,1,0,2062,0.05555555555555555
summer_2019,2019-08-29,1,1,0,2062,0.05555555555555555
summer_2019,2019-08-30,3,3,0,"5322, 5862, 8515",0.16666666666666666
summer_2019,2019-08-31,1,1,0,2062,0.05555555555555555
summer_2019,2019-09-01,1,1,0,8515,0.05555555555555555
summer_2019,2019-09-03,1,1,0,2062,0.05555555555555555
summer_2019,2019-09-04,1,1,0,5857,0.05555555555555555
winter_2019,2019-01-17,1,1,0,5250,0.058823529411764705
winter_2019,2019-01-19,1,1,0,5250,0.058823529411764705
winter_2019,2019-01-21,1,1,0,8502,0.058823529411764705
winter_2019,2019-01-24,1,1,0,8500,0.058823529411764705
winter_2019,2019-01-25,1,1,0,2081,0.058823529411764705
winter_2019,2019-01-26,1,1,0,8506,0.058823529411764705
winter_2019,2019-01-27,1,1,0,8505,0.058823529411764705
winter_2019,2019-01-28,1,1,0,3437,0.058823529411764705
winter_2019,2019-01-30,1,1,1,2081,0.058823529411764705
winter_2019,2019-02-01,8,8,8,"2047, 2063, 2069, 2081, 3437, 8500, 8506, 8508",0.47058823529411764
winter_2019,2019-02-02,6,6,6,"2047, 2063, 3443, 5246, 8506, 8508",0.35294117647058826
winter_2019,2019-02-03,10,9,10,"2047, 2063, 2069, 3437, 3443, 5246, 5250, 8500, 8506",0.5294117647058824
winter_2019,2019-02-04,11,11,11,"2047, 2056, 2069, 2081, 3437, 3443, 5250, 8500, 8506, 8508, 8510",0.6470588235294118
winter_2019,2019-02-05,11,9,11,"2047, 2056, 2063, 3443, 5246, 5250, 8506, 8508, 8510",0.5294117647058824
winter_2019,2019-02-06,8,7,8,"2047, 2063, 2081, 5221, 5246, 5250, 8508",0.4117647058823529
winter_2019,2019-02-07,13,12,13,"2047, 2056, 2069, 2081, 3437, 3443, 5246, 5250, 8500, 8506, 8508, 8510",0.7058823529411765
winter_2019,2019-02-08,14,13,14,"2047, 2056, 2063, 2069, 2081, 3437, 3443, 5221, 5246, 5250, 8506, 8508, 8510",0.7647058823529411
winter_2019,2019-02-11,6,6,6,"2056, 2081, 3437, 3443, 8506, 8508",0.35294117647058826
winter_2019,2019-02-12,2,1,1,2063,0.058823529411764705
winter_2019,2019-02-13,2,2,0,"2056, 8508",0.11764705882352941
winter_2019,2019-02-14,2,2,0,"2056, 8508",0.11764705882352941
winter_2019,2019-02-15,1,1,0,8508,0.058823529411764705
winter_2019,2019-02-18,1,1,0,2083,0.058823529411764705
winter_2019,2019-02-20,2,2,0,"2056, 3443",0.11764705882352941
winter_2019,2019-02-21,2,2,0,"2056, 3443",0.11764705882352941
winter_2019,2019-02-22,1,1,0,2056,0.058823529411764705
winter_2019,2019-02-28,1,1,0,2081,0.058823529411764705
winter_2019,2019-03-01,3,3,0,"2056, 2081, 3443",0.17647058823529413
winter_2019,2019-03-02,1,1,0,5250,0.058823529411764705
winter_2019,2019-03-04,1,1,0,8510,0.058823529411764705
winter_2019,2019-03-05,1,1,0,2056,0.058823529411764705
winter_2019,2019-03-06,1,1,0,2056,0.058823529411764705
winter_2019,2019-03-07,1,1,0,8508,0.058823529411764705
winter_2019,2019-03-08,3,3,0,"2056, 5250, 8510",0.17647058823529413
winter_2019,2019-03-12,4,4,0,"2081, 3437, 8508, 8510",0.23529411764705882
winter_2019,2019-03-14,1,1,0,5221,0.058823529411764705
winter_2019,2019-03-15,1,1,0,5246,0.058823529411764705
winter_2019,2019-03-17,1,1,0,3443,0.058823529411764705
winter_2019,2019-03-19,2,2,0,"5221, 8500",0.11764705882352941
winter_2019,2019-03-20,2,2,0,"3437, 3443",0.11764705882352941
winter_2019,2019-03-25,1,1,0,8508,0.058823529411764705
winter_2019,2019-03-26,3,3,0,"2056, 8502, 8508",0.17647058823529413
winter_2019,2019-03-28,2,2,0,"2056, 8508",0.11764705882352941
winter_2019,2019-03-29,1,1,0,8508,0.058823529411764705
winter_2019,2019-03-30,1,1,0,8502,0.058823529411764705
winter_2019,2019-03-31,1,1,0,5221,0.058823529411764705
winter_2019,2019-04-01,1,1,0,5250,0.058823529411764705
winter_2019,2019-04-02,2,2,0,"2069, 5250",0.11764705882352941
winter_2019,2019-04-03,2,2,0,"5221, 8508",0.11764705882352941
winter_2019,2019-04-05,1,1,0,8508,0.058823529411764705
winter_2019,2019-04-08,1,1,0,8500,0.058823529411764705
winter_2019,2019-04-11,1,1,0,5250,0.058823529411764705
fall_2021,2021-12-01,2,2,0,"2041, 8557",0.2
fall_2021,2021-12-02,1,1,0,8562,0.1
fall_2021,2021-12-03,1,1,0,8089,0.1
